score,neg_score,pos_score,obj_score,text1,text
1,0.387096774,0.387096774,0.225806452, very.r.01 love.v.02 district_attorney.n.01 code.v.01 thought.n.03 disappoint.v.01 script.n.01,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.
1,0.571428571,0,0.428571429, like.n.02 angel.n.03 monster.n.04 district_attorney.n.01 code.v.01,I do like Angels and Demons more then The Da Vinci Code.
1,0.237623762,0.326732673,0.435643564, district_attorney.n.01 code.v.01 very.r.01 well.r.01 movie.n.01,The Da Vinci Code was a really good movie.
1,0.30524109,0.550524109,0.144234801, yea.r.01 district_attorney.n.01 code.v.01 amazing.s.02 movie.n.01 liked.a.01 reasonably.r.01 matter_to.v.01,"yeah, da vinci code is an awesome movie i liked it pretty interesting."
1,0.666666667,0,0.333333333, very.r.01 like.n.02 district_attorney.n.01 code.v.01,I really like The Da Vinci Code.
1,0.277777778,0.138888889,0.583333333, district_attorney.n.01 code.v.01 perplex.v.01,Da Vinci Code is amazing.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was awesome...
1,0.179104478,0.656716418,0.164179104, district_attorney.n.01 code.v.01 versatile.s.01 religious.n.01 diachronic.a.01 trope.n.01 matter_to.v.01 times.n.01 girlfriend.n.02 heart.n.10,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart."
1,0,0.533333333,0.466666667, script.n.01 love.v.01 district_attorney.n.01 code.v.01,Book ( s ): I love The Da Vinci Code..
1,0.051697128,0.827154047,0.121148825, sound.v.02 visit.v.01 district_attorney.n.01 code.v.01 crazy.s.05 amazing.s.02 old.s.07 homosexual.n.01 husband.n.01,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband."
1,0,0.617647059,0.382352941, people.n.03 suppose.v.01 liked.a.01 district_attorney.n.01 code.v.01 hard.s.10 brown_university.n.01," Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love the da vinci code...
1,0.049465241,0.79144385,0.159090909, well.v.01 love.v.02 bridget.n.01 jones.n.05 love.v.01 district_attorney.n.01 code.v.01 theme.n.03 solicitation.n.02 take.v.39 dame.n.01 literature.n.02 one.s.06 stadium.n.01 writing_style.n.01 so_far.r.03 research.v.02,Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
1,0.09375,0.65625,0.25, understand.v.03 district_attorney.n.01 code.v.01 amazing.s.02 way.r.01,I just read Da Vinci Code ( which was AWESOME by the way )  .
1,0,0.739130435,0.260869565, district_attorney.n.01 code.v.01 excellent.s.01 understand.v.03 normal.s.04 understand.v.03 novel.n.02,"The Da Vinci Code is excellent if you read it as normal as you read other novels,,,.."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved the Da Vinci Code!
1,0,0.5,0.5, love.v.01 understand.v.03 district_attorney.n.01 code.v.01,I love reading The Da Vinci Code!!!!
1,0.091666667,0.641666667,0.266666667, tell.v.03 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,"I'm telling you, the Da Vinci Code is an AWESOME book!"
1,0,0.53125,0.46875, public_opinion.n.01 whitethorn.n.01 sting.v.02 biased.s.01 love.v.01 district_attorney.n.01 code.v.01 soundtrack.n.01,"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. )."
1,0.167938931,0.732824427,0.099236641, quite.r.03 pleased.s.02 love.v.01 district_attorney.n.01 code.v.01 much.r.04 able.s.04 receive.v.02 peer.n.01 enjoyment.n.01 visit.v.01 side.n.09 understand.v.03,"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment "" seeing how the other side reads."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love the Da Vinci Code.
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,Da Vinci code is awesome!
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code is awesome.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,The Da Vinci Code is SUCH an awesome book!
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I LOVE THE DA VINCI CODE...
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved The Da Vinci Code.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,the da vinci code is awesome!
1,0,0,1, ohio.n.01 beautiful.s.02 district_attorney.n.01 code.v.01,oh so beautiful Da Vinci Code...
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,i loved the da vinci code.
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,The Da Vinci Code is an awesome book.
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,Da vinci code is an awesome book.
1,0,0,1, miss.n.03 rending.s.01 acoustic.n.01 music.n.01 district_attorney.n.01 code.v.01,I miss ripping acoustic music and the Da Vinci Code...
1,0.555555556,0.252525253,0.191919192, personally.r.03 neither.s.01 hate.n.01 love.v.01 district_attorney.n.01 code.v.01,"Personally, I neither hate nor love the Da Vinci Code."
1,0.076,0.608,0.316, spirit.n.02 amazingly.r.01 playfulness.n.02 possibly.r.02 sting.v.02 cold.s.12 tell.v.03 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 path.n.04 amazing.s.02 script.n.01 trope.n.01 page.v.02,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,"I love "" The Da Vinci Code!"
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,i LOVED the Da Vinci Code.
1,0.076923077,0.692307692,0.230769231, seriously.r.01 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,"But seriously, the Da Vinci Code is an awesome book."
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,da vinci code is awesome.
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love The Da Vinci Code.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,the da vinci code is awesome!
1,0.070652174,0.777173913,0.152173913, love.v.01 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,omg i love the da vinci code that is such an awesome book!
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,The Da Vinci Code is an awesome book...
1,0.459183673,0,0.540816327, district_attorney.n.01 code.v.01 still.r.04 one.s.06 amazing.s.02 script.n.01 ever.r.03 understand.v.03,The Da Vinci Code is still one of the most awesomest books i've ever read...
1,0,0.533333333,0.466666667, love.v.01 district_attorney.n.01 code.v.01 though.r.01,I did love The Da Vinci Code though.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code is awesome!..
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,I love the Da Vinci Code too.
1,0,0.5,0.5, stool.v.04 love.v.01 district_attorney.n.01 code.v.01,"shit, i love the da vinci code."
1,0.192567568,0.577702703,0.22972973, district_attorney.n.01 code.v.01 very.r.01 amazing.s.02 script.n.01 besides.r.02 receive.v.02 two.n.01 script.n.01 brown_university.n.01,"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?.."
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01 finished.s.04,"the da vinci code was an awesome book, i just finished it."
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,da vinci code is awesome..
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love The Da Vinci Code...
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I LOVE THE DA VINCI CODE!!..
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I LOVE THE DA VINCI CODE!!.
1,0,0.461538462,0.538461538, damn.s.01 love.v.01 district_attorney.n.01 code.v.01,damn i love da vinci code.
1,0.134615385,0.673076923,0.192307692, district_attorney.n.01 code.v.01 sleep_together.v.01 amazing.s.02,The Da Vinci Code was fucking awesome!..
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was awesome.
1,0.08839779,0.61878453,0.29281768, district_attorney.n.01 code.v.01 amazing.s.02 strait.n.01 probable.s.02 one-half.n.01 stool.v.04 francium.n.01,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr."
1,0,0.5625,0.4375, love.v.01 district_attorney.n.01 code.v.01 like.n.02,I loved the Da Vinci Code and the like.
1,0.104166667,0.729166667,0.166666667, district_attorney.n.01 amazing.s.02,Da Vinci Code-that was awesome!..
1,0,0.575539568,0.424460432, love.v.01 district_attorney.n.01 code.v.01 raise.v.24 lot.n.02 theological.a.01 question.v.03 absurd.n.01,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd..."
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,The Da Vinci Code is an awesome book.
1,0.0875,0.6125,0.3, yea.r.01 district_attorney.n.01 code.v.01 amazing.s.02,Yeah the Da Vinci code is awesome....
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 though.r.01, The Da Vinci Code  is awesome though.
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,i LOVE the da vinci code!
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,The Da Vinci Code is an awesome book!!!
1,0.104477612,0.52238806,0.373134328, aaron.n.02 ma.n.01 aaron.n.02 know.v.04 much.r.04 love.v.01 district_attorney.n.01 code.v.01 take.v.39 tour.v.01 inside.s.02,"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside."
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,da vinci code is awesome!
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved the da vinci code....
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,the Da Vinci Code is awesome..
1,0,0.5,0.5, idaho.n.01 love.v.01 sound.v.02 visit.v.01 district_attorney.n.01 code.v.01 probably.r.01 next.r.01 workweek.n.01,I'd love to go see Da Vinci Code but probably not next week.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was awesome.
1,0.229357798,0.642201835,0.128440367, sick.s.06 script.n.01 right.s.08 must.n.01 suppose.v.01 district_attorney.n.01 code.v.01 amazing.s.02,"im sick of books right now, but i must say, da vinci code was awesome.."
1,0.0859375,0.6015625,0.3125, finished.s.04 understand.v.03 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,"finished reading the da vinci code, which is an awesome book."
1,0.099009901,0.693069307,0.207920792, district_attorney.n.01 code.v.01 amazing.s.02 far.s.04,that and the da vinci code is awesome so far.
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,And Da Vinci Code is awesome.
1,0.339622642,0.475471698,0.18490566, understand.v.03 angel.n.03 monster.n.04 first_gear.n.01 district_attorney.n.01 code.v.01 far.s.04 amazing.s.02,"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome."
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,Da Vinci Code is an awesome book..
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,Da Vinci Code is awesome!
1,0.313390313,0.438746439,0.247863248, understand.v.03 district_attorney.n.01 code.v.01 amazing.s.02 angel.n.03 monster.n.04 tied.s.05 well.r.11 wide_area_network.n.01 sodium.n.01 understand.v.03 brown_university.n.01 script.n.01,"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books.."
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code is awesome...
1,0,0.476190476,0.523809524, ohio.n.01 ohio.n.01 ohio.n.01 love.v.01 district_attorney.n.01 code.v.01,Oh oh oh and I loved The Da Vinci Code!
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love the Da Vinci code...
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code is awesome.
1,0,0.590909091,0.409090909, love.v.01 district_attorney.n.01 version.n.02 way.r.01 sound.v.02,and I love Da Vinci Code-illustrated edition is the only way to go!:)..
1,0,0.541666667,0.458333333, love.v.01 district_attorney.n.01 code.v.01 slang.n.02 wait.v.04 movie.n.01,"I loved the Da Vinci code, and I can't wait for the movie."
1,0,0.461538462,0.538461538, love.v.01 district_attorney.n.01 code.v.01 recently.r.01,i loved da vinci code recently......
1,0,0.5,0.5, love.v.01 district_attorney.n.01 code.v.01,Love the Da Vinci Code!(
1,0,0.652542373,0.347457627, right.s.08 besides.r.02 understand.v.03 love.v.01 district_attorney.n.01 code.v.01,to their right ALSO read and LOVED the Da Vinci code.
1,0,0.5,0.5, love.v.01 district_attorney.n.01 code.v.01,I * LOVED * Da Vinci code.
1,0,0.5,0.5, love.v.01 understand.v.03 district_attorney.n.01 code.v.01,and i love reading da vinci code.....
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,and i love Da Vinci Code too..
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,and i love Da Vinci Code too..
1,0,0,1, district_attorney.n.01 code.v.01 spirit.n.02 amazing.s.02,Da Vinci Code looks SO awesome...
1,0.091666667,0.641666667,0.266666667, finished.s.04 district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,I finished The Da Vinci Code that was an awesome book!
1,0.679294579,0.127367734,0.193337688, district_attorney.n.01 code.v.01 reasonably.r.01 amazing.s.02 liked.a.01 angel.n.03 monster.n.04,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons..."
1,0,0.482758621,0.517241379, love.v.01 understand.v.03 district_attorney.n.01 code.v.01 slang.n.02 wait.v.04 movie.n.01 hail.v.02,"I loved reading Da Vinci Code, can't wait for the movie to come out!.."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love the Da Vinci Code.
1,0.203389831,0.610169492,0.186440678, district_attorney.n.01 code.v.01 very.r.01 amazing.s.02 script.n.01 sound.v.02 receive.v.02,The Da Vinci Code really is an awesome book and you should all go get it.
1,0.32622239,0.545403058,0.128374552, love.v.01 district_attorney.n.01 code.v.01 thought.n.03 angel.n.03 monster.n.04 reasonably.r.01 well.r.01 right.s.08 goal.n.01 kind.n.01 suffer.v.11 sting.v.02,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit."
1,0,0.762711864,0.237288136, wholly.r.01 love.v.01 district_attorney.n.01 code.v.01 california.n.01 national_trust.n.01 wait.v.04 movie.n.01,i totally love the Da Vinci Code and i CA N'T wait until the movie!
1,0,0,1, personally.r.03 love.v.01 district_attorney.n.01 code.v.01 great.n.01 thriller.n.01,"Personally I loved The Da Vinci Code, its a great thriller."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I love the Da Vinci Code.....
1,0.107142857,0.75,0.142857143, district_attorney.n.01 amazing.s.02,' The Da Vinci Code'it was AWESOME.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,and the da vinci code is an awesome book!
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,da vinci code is an awesome book..
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code is AWESOME!.
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved the da vinci code.
1,0.464183381,0.429799427,0.106017192, love.v.01 district_attorney.n.01 matter_to.v.01 think.v.13 thing.n.12 unlike.a.01 slant.v.02,I loved the da Vinci Code-very interesting to think about things from a different angle.
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,Da Vinci Code is a friggin awesome book.
1,0.269662921,0.134831461,0.595505618, district_attorney.n.01 code.v.01 perplex.v.01 thirty.s.01 page.v.02 left.n.05 sound.v.02,"And the Da Vinci code is AMAZING, 30 pages left to go."
1,0.159090909,0.477272727,0.363636364, love.v.01 clandestine.s.01 three.s.01 district_attorney.n.01 code.v.01,+ love undercover 3 + The Da Vinci Code....
1,0,0,1, trey.n.02 love.v.01 district_attorney.n.01 code.v.01,outta all three i just loved the da vinci code.
1,0,0.5,0.5, ohio.n.01 love.v.01 script.n.01 district_attorney.n.01 code.v.01,oh I love the book The Da VInci Code!
1,0.097222222,0.680555556,0.222222222, besides.r.02 district_attorney.n.01 code.v.01 way.r.01 amazing.s.02,"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!)."
1,0,0,1, district_attorney.n.01 code.v.01 amazing.s.02,da vinci code is so awesome.
1,0,0.284444444,0.715555556, district_attorney.n.01 code.v.01 amazing.s.02 already.r.01,and Da Vinci Code was so awesome already).
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was AWESOME.
1,0.097222222,0.680555556,0.222222222, district_attorney.n.01 code.v.01 amazing.s.02,"So, the Da Vinci code was AWESOME..."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved the Da Vinci Code.
1,0.0875,0.6125,0.3, well.v.01 district_attorney.n.01 code.v.01 amazing.s.02,"Well the Da Vinci Code, was Awesome!"
1,0.237288136,0.355932203,0.406779661, very.r.01 love.v.01 district_attorney.n.01 code.v.01,i really loved the da vinci code.
1,0.0875,0.6125,0.3, script.n.01 district_attorney.n.01 code.v.01 amazing.s.02,The book da vinci code is awesome.
1,0.09375,0.65625,0.25, visit.v.01 district_attorney.n.01 code.v.01 amazing.s.02,"i saw the da vinci code, which was awesome."
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,And I love the Da Vinci Code(
1,0,0,1, know.v.04 love.v.01 district_attorney.n.01 code.v.01,i know i loved the da vinci code too!!!
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,Da Vinci code was awesome!!!
1,0.107954545,0.755681818,0.136363636, theater.n.01 district_attorney.n.01 luau.n.01 amazing.s.02,"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome.."
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 movie.n.01,The Da Vinci Code was an awesome movie.
1,0.0875,0.6125,0.3, besides.r.02 district_attorney.n.01 code.v.01 amazing.s.02,"also, the da vinci code is AWESOME."
1,0,0.5,0.5, gasp.n.01 love.v.01 district_attorney.n.01 code.v.01,* gasp * I LOVE the Da Vinci Code!!
1,0.285714286,0.5,0.214285714, movie.n.01 district_attorney.n.01 code.v.01 amazing.s.02 protest.n.03 take.v.27 sad.s.02 know.v.04 many.a.01 people.n.03 share.n.02 religion.n.02 idiot.n.01,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots..."
1,0.0859375,0.6015625,0.3125, district_attorney.n.01 code.v.01 like.n.02 one.s.06 amazing.s.02 script.n.01,The Da Vinci Code is like one of the AWESOMEST books!!!
1,0,0.877192982,0.122807018, sad.s.02 whitethorn.n.01 go_steady.v.01 sister.n.03 love.v.02 time.v.05 in_concert.r.01 absolutely.r.02 love.v.01 district_attorney.n.01 code.v.01,"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code."
1,0.090425532,0.632978723,0.276595745, district_attorney.n.01 code.v.01 amazing.s.02 mean.v.07 jesus.n.01 slang.n.02 admired.s.01 knight_bachelor.n.01,just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,DA VINCI CODE WAS AWESOME!!!!!..
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 movie.n.01,Da Vinci Code is an awesome movie.
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was AWESOME.
1,0,0.5,0.5, district_attorney.n.01 code.v.01 one.s.06 beautiful.s.02 movie.n.01,Da vinci Code is one beautiful movie..
1,0,0.5,0.5, love.v.01 district_attorney.n.01 code.v.01,I love Da Vinci Code.
1,0,0.586592179,0.413407821, beyond.r.03 district_attorney.n.01 code.v.01 beautiful.s.02 tome.n.01 unauthorized.s.02 path.n.04 hand.n.06 novel.n.02 revolutionize.v.03,"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it."
1,0,0,1, actually.r.04 love.v.01 district_attorney.n.01 code.v.01,I actually loved Da Vinci Code.
1,0.092544987,0.64781491,0.259640103, visit.v.01 district_attorney.n.01 code.v.01 three.s.01 last.v.01 stand.v.09 sidereal_day.n.01 hail.v.02 one.s.06 receive.v.02 lecture.v.01 district_attorney.n.01 code.v.01 amazing.s.02,"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,i loved the da vinci code...
1,0.503496503,0.352447552,0.144055944, agree.v.02 love.v.01 district_attorney.n.01 code.v.01 think.v.13 pathetic.s.03 people.n.03 receive.v.02 pantie.n.01 bunch_together.v.01 heresy.n.02 any.s.01 hell.n.02 allegedly.r.01 incorporate.v.02,"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains."
1,0.0875,0.6125,0.3, district_attorney.n.01 code.v.01 amazing.s.02 la.n.03,the da vinci code was awesome lah!
1,0.089285714,0.625,0.285714286, district_attorney.n.01 code.v.01 amazing.s.02,Da Vinci Code was AWESOME..
1,0.102272727,0.409090909,0.488636364, idaho.n.01 love.v.01 watch.n.04 district_attorney.n.01 code.v.01 soon.r.01,I'd love to watch The Da Vinci Code soon.
1,0,0.661417323,0.338582677, hard.s.10 decide.v.01 move.v.16 titanium.n.01 visit.v.01 two.n.01 well.r.01 one.n.02 playing.n.02 love.v.01 visit.v.01 district_attorney.n.01 code.v.01 hired_hand.n.01 hedge.v.03 spirit.n.02 funny_story.n.01,"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny..."
1,0.437810945,0.109452736,0.452736318, understand.v.03 script.n.01 angel.n.03 monster.n.04 receive.v.02 hooklike.s.01 finished.s.04 two.n.01 sidereal_day.n.01 like.n.02 district_attorney.n.01 code.v.01,"i read that book "" angels and demons "" and i got hooked so i finished in two days, just like da vinci code..."
1,0,0.533333333,0.466666667, ohio.n.01 love.v.01 district_attorney.n.01 code.v.01,oh and i loved the da vinci code.
1,0,0.845637584,0.154362416, binding.n.05 melbourne.n.02 ma.n.01 sound.v.02 visit.v.01 district_attorney.n.01 code.v.01 wholly.r.01 amazing.s.02 left.n.05 thing.n.12,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!"
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,hahash i love da vinci code tooo!!
1,0.09375,0.65625,0.25, district_attorney.n.01 code.v.01 amazing.s.02,The Da Vinci Code was awesome.
1,0,0.265625,0.734375, district_attorney.n.01 code.v.01 besides.r.02 amazing.s.02 given.s.01 tom.n.01 hank.n.01,"da vinci code was also awesome, but thats a given, tom hanks is in it after all."
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved The Da Vinci Code!!
1,0,0.545454545,0.454545455, love.v.01 district_attorney.n.01 code.v.01,I loved The Da Vinci Code!
